objectid,filename,material,format,description,content,creator,nianli date,date,subject,location1,location2,latitude,longitude,Content,rights,type,language,relation
n01,2023年八月十五 马踏镇年例 刘仙三太  游神队伍中 湛江飘色.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2023%E5%B9%B4%E5%85%AB%E6%9C%88%E5%8D%81%E4%BA%94%20%E9%A9%AC%E8%B8%8F%E9%95%87%E5%B9%B4%E4%BE%8B%20%E5%88%98%E4%BB%99%E4%B8%89%E5%A4%AA%20%20%E6%B8%B8%E7%A5%9E%E9%98%9F%E4%BC%8D%E4%B8%AD%20%E6%B9%9B%E6%B1%9F%E9%A3%98%E8%89%B2.jpg,image/jpeg,湛江飘色 Zhanjiang Piaose,,crk19940916,八月十五 the 15th day of the eighth lunar month,2023,Customs,马踏镇 Mata Town,,21.615412,111.339955,八月十五马踏镇年例送炮活动 Song Pao，游神 Deity Procession,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,Image;StillImage,chinese,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ 
n02,2023年八月十五 马踏镇年例 刘仙三太 游神队伍中  舞龙队.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2023%E5%B9%B4%E5%85%AB%E6%9C%88%E5%8D%81%E4%BA%94%20%E9%A9%AC%E8%B8%8F%E9%95%87%E5%B9%B4%E4%BE%8B%20%E5%88%98%E4%BB%99%E4%B8%89%E5%A4%AA%20%E6%B8%B8%E7%A5%9E%E9%98%9F%E4%BC%8D%E4%B8%AD%20%20%E8%88%9E%E9%BE%99%E9%98%9F.jpg,image/jpeg,舞龙队 Dragon Dance Group,,949940333,八月十五 the 15th day of the eighth lunar month,2023,Customs,马踏镇 Mata Town,,21.615412,111.339955,八月十五马踏镇年例送炮活动 Song Pao，游神 Deity Procession,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ 
n03,2023年八月十五 马踏镇年例 刘仙三太 游神队伍中 鳌鱼舞方阵.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2023%E5%B9%B4%E5%85%AB%E6%9C%88%E5%8D%81%E4%BA%94%20%E9%A9%AC%E8%B8%8F%E9%95%87%E5%B9%B4%E4%BE%8B%20%E5%88%98%E4%BB%99%E4%B8%89%E5%A4%AA%20%E6%B8%B8%E7%A5%9E%E9%98%9F%E4%BC%8D%E4%B8%AD%20%E9%B3%8C%E9%B1%BC%E8%88%9E%E6%96%B9%E9%98%B5.jpg,image/jpeg,鳌鱼队 Aoyu Group,,949940333,八月十五 the 15th day of the eighth lunar month,2023,Customs,马踏镇 Mata Town,,21.615412,111.339955,八月十五马踏镇年例送炮活动 Song Pao，游神 Deity Procession,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ 
n04,2024年八月十五 马踏镇年例 邀请潮汕英歌舞.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E5%85%AB%E6%9C%88%E5%8D%81%E4%BA%94%20%E9%A9%AC%E8%B8%8F%E9%95%87%E5%B9%B4%E4%BE%8B%20%E9%82%80%E8%AF%B7%E6%BD%AE%E6%B1%95%E8%8B%B1%E6%AD%8C%E8%88%9E.jpg,image/jpeg,潮汕英歌舞 Chaoshan Yingge Dance,,949940333,八月十五 the 15th day of the eighth lunar month,2024,Customs,马踏镇 Mata Town,,21.615412,111.339955,八月十五马踏镇年例送炮活动 Song Pao，游神 Deity Procession,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ 
n05,2025年正月十四 马踏党村年例 走公.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%AD%A3%E6%9C%88%E5%8D%81%E5%9B%9B%20%E9%A9%AC%E8%B8%8F%E5%85%9A%E6%9D%91%E5%B9%B4%E4%BE%8B%20%E8%B5%B0%E5%85%AC.jpg,image/jpeg,走公 Zou gong,,,正月十四 the 14th day of the first lunar month,2025,Customs,马踏镇 Mata Town,党村 Dangcun,21.633336,111.338013,走公 Zou gong，走火把 Zou huoba，舞公 Wu gong，抢炮头 Qiang Paotou，放烟花 Fireworks Display,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/UgB-z4y7OpM/ 01/27 N@j.cA lpD:/ 
n06,2025年正月十四 马踏党村年例 走火把.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%AD%A3%E6%9C%88%E5%8D%81%E5%9B%9B%20%E9%A9%AC%E8%B8%8F%E5%85%9A%E6%9D%91%E5%B9%B4%E4%BE%8B%20%E8%B5%B0%E7%81%AB%E6%8A%8A.jpg,image/jpeg,走火把 Zou huoba,,27165295250,正月十四 the 14th day of the first lunar month,2025,Customs,马踏镇 Mata Town,党村 Dangcun,21.633336,111.338013,走公 Zou gong，走火把 Zou huoba，舞公 Wu gong，抢炮头 Qiang Paotou，放烟花 Fireworks Display,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/UgB-z4y7OpM/ 01/27 N@j.cA lpD:/ 
n07,2025年正月十四 马踏党村年例 接炮头.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%AD%A3%E6%9C%88%E5%8D%81%E5%9B%9B%20%E9%A9%AC%E8%B8%8F%E5%85%9A%E6%9D%91%E5%B9%B4%E4%BE%8B%20%E6%8E%A5%E7%82%AE%E5%A4%B4.jpg,image/jpeg,抢炮头 Qiang Paotou,,1693203460,正月十四 the 14th day of the first lunar month,2025,Customs,马踏镇 Mata Town,党村 Dangcun,21.633336,111.338013,走公 Zou gong，走火把 Zou huoba，舞公 Wu gong，抢炮头 Qiang Paotou，放烟花 Fireworks Display,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/UgB-z4y7OpM/ 01/27 N@j.cA lpD:/ 
n08,2025年 岭门镇山后村正月十七年例 走公.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%20%E5%B2%AD%E9%97%A8%E9%95%87%E5%B1%B1%E5%90%8E%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%83%E5%B9%B4%E4%BE%8B%20%E8%B5%B0%E5%85%AC.jpg,image/jpeg,走公 Zou gong,,WH1994Lucky,正月十七 the 17th day of the first lunar month,2025,Customs,岭门镇 Lingmen Town,山后村 Shanhoucun,21.531272,111.429308,走公 Zou gong,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/Qx0xKj_AFOE/ FHv:/ 12/31 L@J.Vy 
n09,2025年 岭门镇山后村正月十七年例  20多头专业舞狮队伍.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%20%E5%B2%AD%E9%97%A8%E9%95%87%E5%B1%B1%E5%90%8E%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%83%E5%B9%B4%E4%BE%8B%20%2020%E5%A4%9A%E5%A4%B4%E4%B8%93%E4%B8%9A%E8%88%9E%E7%8B%AE%E9%98%9F%E4%BC%8D.jpg,image/jpeg,舞狮 Lion Dance,,lisongzezaiz,正月十七 the 17th day of the first lunar month,2025,Customs,岭门镇 Lingmen Town,山后村 Shanhoucun,21.531272,111.429308,20多头专业舞狮队伍 Over 20 professional lion dance teams,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/_FL43GhosAg/ VLw:/ N@w.Fh 08/17 
n10,2025年 岭门镇山后村正月十七年例 盛大朝香队伍.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%20%E5%B2%AD%E9%97%A8%E9%95%87%E5%B1%B1%E5%90%8E%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%83%E5%B9%B4%E4%BE%8B%20%E7%9B%9B%E5%A4%A7%E6%9C%9D%E9%A6%99%E9%98%9F%E4%BC%8D.jpg,image/jpeg,朝香 Chaoxiang,,lisongzezaiz,正月十七 the 17th day of the first lunar month,2025,Customs,岭门镇 Lingmen Town,山后村 Shanhoucun,21.531272,111.429308,500多人的朝香队伍 A Chaoxiang team of over 500 people,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/tmOkrIZwNO4/ uFU:/ 12/10 Z@M.jC 
